;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_on_title;Enable 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_on_desc;The Release Vassal decisions allow you to release vassals, and are otherwise kept hidden from view to avoid having them clutter up your decision list.;;;;;;;;;;;;x
gtfo_off_title;Disable 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_off_desc;Your decision list will now be uncluttered!;;;;;;;;;;;;x,,
gtfo_disabled_title;Deactivate 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_disabled_desc;The 'Release Vassal' decisions will disappear from this game session and won't reappear again. You won't be able to use these decisions again for this game.;;;;;;;;;;;;x,,
gtfo_ADA_title;Grant Adal Independence;;;;;;;;;;;;x,,
gtfo_ADA_desc;We've had a good run, but it's time to end our rulership of Adal: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ADE_title;Grant Aden Independence;;;;;;;;;;;;x,,
gtfo_ADE_desc;We've had a good run, but it's time to end our rulership of Aden: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AIN_title;Grant Ainu Independence;;;;;;;;;;;;x,,
gtfo_AIN_desc;We've had a good run, but it's time to end our rulership of Ainu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AJU_title;Grant Ajuraan Independence;;;;;;;;;;;;x,,
gtfo_AJU_desc;We've had a good run, but it's time to end our rulership of Ajuraan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ALD_title;Grant Alger Independence;;;;;;;;;;;;x,,
gtfo_ALD_desc;We've had a good run, but it's time to end our rulership of Alger: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ALH_title;Grant Al-Hasa Independence;;;;;;;;;;;;x,,
gtfo_ALH_desc;We've had a good run, but it's time to end our rulership of Al-Hasa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ANZ_title;Grant Al-Jawf Independence;;;;;;;;;;;;x,,
gtfo_ANZ_desc;We've had a good run, but it's time to end our rulership of Al-Jawf: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARG_title;Grant Rio Laval do Sul Independence;;;;;;;;;;;;x,,
gtfo_ARG_desc;We've had a good run, but it's time to end our rulership of Rio Laval do Sul: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARM_title;Grant Hayastan Independence;;;;;;;;;;;;x,,
