KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
dynamic-afghani-culture-num1;Ghuri;Ghuri;Ghuri;Ghuri;Ghuri;Ghuri;Ghuri;Ghuri;Ghuri;Ghuri;Ghuri;Ghuri;Ghuri;x
dynamic-afghani-sindhi-culture-num1;Afghan-Sindhi;Afghan-Sindhi;Afghan-Sindhi;Afghan-Sindhi;Afghan-Sindhi;Afghan-Sindhi;Afghan-Sindhi;Afghan-Sindhi;Afghan-Sindhi;Afghan-Sindhi;Afghan-Sindhi;Afghan-Sindhi;Afghan-Sindhi;x
dynamic-amhara-culture-num1;Intartan;Intartan;Intartan;Intartan;Intartan;Intartan;Intartan;Intartan;Intartan;Intartan;Intartan;Intartan;Intartan;x
dynamic-amhara-somali-culture-num1;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;x
dynamic-anglosaxon-danish-norse-culture-num1;Kalmarian;Kalmarian;Kalmarian;Kalmarian;Kalmarian;Kalmarian;Kalmarian;Kalmarian;Kalmarian;Kalmarian;Kalmarian;Kalmarian;Kalmarian;x
dynamic-anglosaxon-norse-culture-num1;Anglo-Nordic;Anglo-Nordic;Anglo-Nordic;Anglo-Nordic;Anglo-Nordic;Anglo-Nordic;Anglo-Nordic;Anglo-Nordic;Anglo-Nordic;Anglo-Nordic;Anglo-Nordic;Anglo-Nordic;Anglo-Nordic;x
dynamic-anglosaxon-norse-culture-num2;Midgardian;Midgardian;Midgardian;Midgardian;Midgardian;Midgardian;Midgardian;Midgardian;Midgardian;Midgardian;Midgardian;Midgardian;Midgardian;x
dynamic-anglosaxon-norse-welsh-culture-num1;Merkian;Merkian;Merkian;Merkian;Merkian;Merkian;Merkian;Merkian;Merkian;Merkian;Merkian;Merkian;Merkian;x
dynamic-armenian-persian-culture-num1;Armeno-Persian;Armeno-Persian;Armeno-Persian;Armeno-Persian;Armeno-Persian;Armeno-Persian;Armeno-Persian;Armeno-Persian;Armeno-Persian;Armeno-Persian;Armeno-Persian;Armeno-Persian;Armeno-Persian;x
dynamic-avar-culture-num1;Székelyföldian;Székelyföldian;Székelyföldian;Székelyföldian;Székelyföldian;Székelyföldian;Székelyföldian;Székelyföldian;Székelyföldian;Székelyföldian;Székelyföldian;Székelyföldian;Székelyföldian;x
dynamic-avar-slovak-culture-num1;Avaro-Slovien;Avaro-Slovien;Avaro-Slovien;Avaro-Slovien;Avaro-Slovien;Avaro-Slovien;Avaro-Slovien;Avaro-Slovien;Avaro-Slovien;Avaro-Slovien;Avaro-Slovien;Avaro-Slovien;Avaro-Slovien;x
dynamic-bashkir-ostyaki-culture-num1;Bashkiro-Neramkarian;Bashkiro-Neramkarian;Bashkiro-Neramkarian;Bashkiro-Neramkarian;Bashkiro-Neramkarian;Bashkiro-Neramkarian;Bashkiro-Neramkarian;Bashkiro-Neramkarian;Bashkiro-Neramkarian;Bashkiro-Neramkarian;Bashkiro-Neramkarian;Bashkiro-Neramkarian;Bashkiro-Neramkarian;x
dynamic-basque-norse-occitain-culture-num1;Lavonian;Lavonian;Lavonian;Lavonian;Lavonian;Lavonian;Lavonian;Lavonian;Lavonian;Lavonian;Lavonian;Lavonian;Lavonian;x
dynamic-bavarian-culture-num1;Parsberg;Parsberg;Parsberg;Parsberg;Parsberg;Parsberg;Parsberg;Parsberg;Parsberg;Parsberg;Parsberg;Parsberg;Parsberg;x
dynamic-bedouin_arabic-persian-culture-num1;Perso-Bedouin;Perso-Bedouin;Perso-Bedouin;Perso-Bedouin;Perso-Bedouin;Perso-Bedouin;Perso-Bedouin;Perso-Bedouin;Perso-Bedouin;Perso-Bedouin;Perso-Bedouin;Perso-Bedouin;Perso-Bedouin;x
dynamic-bedouin_arabic-sidamo-culture-num1;Welayto-Bedouin;Welayto-Bedouin;Welayto-Bedouin;Welayto-Bedouin;Welayto-Bedouin;Welayto-Bedouin;Welayto-Bedouin;Welayto-Bedouin;Welayto-Bedouin;Welayto-Bedouin;Welayto-Bedouin;Welayto-Bedouin;Welayto-Bedouin;x
dynamic-bedouin_arabic-somali-culture-num1;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;x
dynamic-bengali-culture-num1;Karmântân;Karmântân;Karmântân;Karmântân;Karmântân;Karmântân;Karmântân;Karmântân;Karmântân;Karmântân;Karmântân;Karmântân;Karmântân;x
dynamic-berber-culture-num1;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;x
dynamic-breton-norse-culture-num1;Brythono-Norse;Brythono-Norse;Brythono-Norse;Brythono-Norse;Brythono-Norse;Brythono-Norse;Brythono-Norse;Brythono-Norse;Brythono-Norse;Brythono-Norse;Brythono-Norse;Brythono-Norse;Brythono-Norse;x
dynamic-bulgarian-culture-num1;Velbazhd;Velbazhd;Velbazhd;Velbazhd;Velbazhd;Velbazhd;Velbazhd;Velbazhd;Velbazhd;Velbazhd;Velbazhd;Velbazhd;Velbazhd;x
dynamic-buryat-culture-num1;Tapsan;Tapsan;Tapsan;Tapsan;Tapsan;Tapsan;Tapsan;Tapsan;Tapsan;Tapsan;Tapsan;Tapsan;Tapsan;x
dynamic-catalan-culture-num1;espanhola;espanhola;espanhola;espanhola;espanhola;espanhola;espanhola;espanhola;espanhola;espanhola;espanhola;espanhola;espanhola;x
dynamic-chihan-chihan-culture-num1;Sino-Tuyuhun;Sino-Tuyuhun;Sino-Tuyuhun;Sino-Tuyuhun;Sino-Tuyuhun;Sino-Tuyuhun;Sino-Tuyuhun;Sino-Tuyuhun;Sino-Tuyuhun;Sino-Tuyuhun;Sino-Tuyuhun;Sino-Tuyuhun;Sino-Tuyuhun;x
dynamic-cosmopolitan_french-culture-num1;Sardino-French;Sardino-French;Sardino-French;Sardino-French;Sardino-French;Sardino-French;Sardino-French;Sardino-French;Sardino-French;Sardino-French;Sardino-French;Sardino-French;Sardino-French;x
dynamic-croatian-slovak-culture-num1;Croato-Slovien;Croato-Slovien;Croato-Slovien;Croato-Slovien;Croato-Slovien;Croato-Slovien;Croato-Slovien;Croato-Slovien;Croato-Slovien;Croato-Slovien;Croato-Slovien;Croato-Slovien;Croato-Slovien;x
dynamic-daju-zaghawa-culture-num1;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;x
dynamic-franconian-cosmopolitan_french-culture-num1;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;x
