KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
british_central_america_superregion_culture;British Mexican;britannique mexicaine;Britisch Mexikanisch;;británica mexicano;;;;;;;;;X
british_north_america_superregion_culture;British American;britannique américaine;Britisch Amerikanisch;;británica estadounidense;;;;;;;;;X
british_south_america_superregion_culture;British Amazonian;britannique amazonienne;Britisch Amazonisch;;británica amazónico;;;;;;;;;X
french_andes_superregion_culture;French Andean;française andine;Französisch Andisch;;francesa andino;;;;;;;;;X
french_central_america_superregion_culture;French Mexican;française mexicaine;Französisch Mexikanisch;;francesa mexicano;;;;;;;;;X
french_north_america_superregion_culture;French American;française américaine;Französisch Amerikanisch;;francesa estadounidense;;;;;;;;;X
french_south_america_superregion_culture;French Amazonian;française amazonienne;Französisch Amazonisch;;francesa amazónico;;;;;;;;;X
scandinavian_andes_superregion_culture;Nordic Andean;nordique andine;Nordisch Andisch;;escandinava andino;;;;;;;;;X
scandinavian_central_america_superregion_culture;Nordic Mexican;nordique mexicaine;Nordisch Mexikanisch;;escandinava mexicano;;;;;;;;;X
scandinavian_north_america_superregion_culture;Nordic American;nordique américaine;Nordisch Amerikanisch;;escandinava estadounidense;;;;;;;;;X
scandinavian_south_america_superregion_culture;Nordic Amazonian;nordique amazonienne;Nordisch Amazonisch;;escandinava amazónico;;;;;;;;;X
